iter	Logloss	Accuracy	Precision	Recall	F1
54	0.1803622075	0.9303914579	0.9178188008	0.9454370435	0.9314232355
55	0.1795415672	0.9306426698	0.918044138	0.9457110929	0.9316722611
56	0.1789758701	0.9308574792	0.9183869815	0.9457605454	0.9318727836
57	0.1781547558	0.9312036468	0.9188485605	0.9459525173	0.9322035676
58	0.1775342887	0.93143992	0.9191365068	0.9461170157	0.9324316275
59	0.176823652	0.9315503296	0.9191191798	0.946380419	0.9325506101
60	0.1761456026	0.9317036668	0.9194604648	0.9462976547	0.9326860458
61	0.175621672	0.9318094402	0.9193902696	0.9466156619	0.9328043538
62	0.1747830731	0.9321617894	0.9199221292	0.9467355156	0.9331362435
63	0.1740696777	0.9324550703	0.9202334669	0.946996515	0.9334231933
64	0.173404077	0.9327574519	0.9206341259	0.9471682251	0.9337127031
65	0.1729081284	0.932889497	0.9208868071	0.9471483067	0.9338329602
66	0.1724315292	0.9330261782	0.9211319096	0.9471479633	0.9339587979
67	0.1718176314	0.9332507751	0.9215530797	0.9471252976	0.9341642152
68	0.1713799589	0.9334037688	0.9217697317	0.9471956987	0.934309764
69	0.1708272965	0.9335291172	0.9219151221	0.9472925432	0.9344315636
70	0.1702908343	0.933629396	0.9219086487	0.947519544	0.9345386636
71	0.1698153362	0.9337463306	0.9219932348	0.9476720226	0.934656287
72	0.1693752713	0.9338783756	0.9222005564	0.9477080818	0.9347803443
73	0.1689124776	0.9340442476	0.9224158877	0.9478083605	0.9349397443
74	0.1683663644	0.9341864236	0.9225867392	0.9479110432	0.9350774608
75	0.167709979	0.9344340297	0.9228220772	0.9481655176	0.9353221527
76	0.1672138176	0.9346110628	0.923137081	0.9481692952	0.9354857618
77	0.1667913667	0.9348078426	0.9232955476	0.9484062552	0.9356824591
78	0.1664757092	0.9348899201	0.9235314932	0.9482991081	0.9357514411
79	0.1661224455	0.9350346717	0.9237083168	0.948400417	0.9358915292
80	0.1658140374	0.9351272235	0.9237538118	0.9485470575	0.935986277
81	0.1653866002	0.9352403805	0.9239687967	0.9485333207	0.9360899332
82	0.1650566535	0.9353470124	0.9240818885	0.9486287915	0.9361944635
83	0.1645987645	0.9355317726	0.9243853828	0.9486641638	0.9363674205
