iter	Passed	Remaining
208	18448	69820
209	18514	69650
210	18587	69504
211	18661	69364
212	18731	69210
213	18813	69099
214	18887	68962
215	18958	68814
216	19035	68683
217	19143	68670
218	19219	68541
219	19290	68392
220	19360	68242
221	19434	68107
222	19500	67944
223	19567	67786
224	19643	67660
225	19719	67533
226	19783	67368
227	19846	67201
228	19919	67064
229	19993	66936
230	20059	66779
231	20131	66643
232	20207	66519
233	20292	66426
234	20364	66292
235	20435	66154
236	20498	65991
237	20572	65865
238	20639	65717
239	20707	65575
240	20786	65465
241	20867	65361
242	20934	65214
243	21006	65085
244	21088	64986
245	21159	64853
246	21236	64742
247	21312	64625
248	21384	64497
249	21463	64389
250	21532	64254
251	21617	64165
252	21686	64032
253	21760	63911
254	21835	63793
255	21914	63690
256	21995	63588
257	22077	63495
258	22151	63375
259	22231	63275
260	22301	63145
261	22378	63034
262	22456	62929
263	22545	62854
264	22615	62726
265	22680	62584
266	22744	62440
267	22813	62310
268	22881	62179
269	22951	62053
270	23022	61931
271	23085	61786
272	23151	61652
273	23214	61509
274	23284	61386
275	23352	61257
276	23421	61133
277	23487	61000
278	23555	60872
279	23625	60751
280	23692	60623
281	23760	60496
282	23823	60359
283	23890	60230
284	23968	60132
285	24041	60019
286	24102	59878
287	24163	59736
288	24233	59619
289	24313	59525
290	24384	59410
291	24455	59295
292	24516	59156
293	24593	59057
294	24671	58961
295	24749	58863
296	24821	58751
297	24890	58633
298	24960	58519
299	25021	58382
300	25098	58285
301	25169	58173
302	25248	58080
303	25315	57960
304	25381	57835
305	25460	57743
306	25532	57636
307	25602	57522
308	25669	57404
309	25749	57313
310	25818	57199
311	25894	57100
312	25960	56980
313	26038	56886
314	26117	56794
315	26189	56688
316	26258	56576
317	26327	56464
318	26394	56345
319	26466	56240
320	26536	56130
321	26603	56015
322	26676	55913
323	26744	55800
324	26825	55714
325	26903	55621
326	26976	55519
327	27045	55409
328	27108	55288
329	27182	55187
330	27258	55093
331	27333	54996
332	27400	54883
333	27485	54806
334	27555	54700
335	27622	54586
336	27699	54495
337	27772	54393
338	27850	54304
339	27919	54196
340	27988	54089
341	28064	53995
342	28143	53907
343	28215	53807
344	28299	53727
345	28370	53625
346	28438	53516
347	28504	53404
348	28588	53326
349	28658	53223
350	28732	53126
351	28801	53020
352	28875	52925
353	28946	52823
354	29023	52732
355	29095	52633
356	29164	52529
357	29239	52435
358	29313	52339
359	29380	52232
360	29454	52137
361	29520	52027
362	29594	51933
363	29670	51841
364	29745	51749
365	29822	51659
366	29904	51578
367	29964	51461
368	30035	51360
369	30104	51258
370	30167	51146
371	30241	51052
372	30310	50950
373	30391	50869
374	30466	50778
375	30539	50683
376	30615	50592
377	30683	50490
378	30750	50385
379	30827	50297
380	30899	50200
381	30968	50100
382	31037	50000
383	31101	49891
384	31179	49806
385	31248	49706
386	31313	49599
387	31388	49509
388	31463	49419
389	31544	49338
390	31623	49254
391	31693	49157
392	31765	49062
393	31829	48956
394	31901	48862
395	31977	48773
396	32037	48662
397	32106	48562
398	32221	48534
399	32291	48436
400	32354	48330
401	32451	48272
402	32526	48184
403	32614	48113
404	32692	48029
405	32764	47936
406	32829	47832
407	32889	47722
408	32970	47642
409	33043	47550
410	33118	47461
411	33193	47373
412	33275	47294
413	33349	47204
414	33421	47112
415	33496	47023
416	33569	46932
417	33635	46831
418	33710	46744
419	33778	46646
420	33850	46554
421	33922	46462
422	33987	46361
423	34054	46262
424	34125	46170
425	34208	46093
426	34291	46016
427	34361	45922
428	34435	45833
429	34505	45740
430	34579	45651
431	34653	45563
432	34726	45473
433	34804	45390
434	34869	45289
435	34944	45203
436	35015	45111
437	35085	45018
438	35164	44937
439	35245	44857
440	35322	44773
441	35404	44696
442	35482	44613
443	35557	44527
444	35644	44454
445	35723	44373
446	35797	44286
447	35871	44198
448	35943	44108
449	36022	44027
450	36113	43960
451	36196	43884
452	36276	43803
453	36345	43710
454	36424	43629
455	36500	43544
456	36582	43466
457	36657	43380
458	36733	43295
459	36804	43204
460	36878	43118
461	36951	43030
462	37035	42954
463	37109	42867
464	37191	42789
465	37273	42712
466	37355	42634
467	37443	42563
468	37537	42499
469	37611	42412
470	37693	42335
471	37771	42252
472	37861	42183
473	37934	42096
474	38013	42014
475	38105	41947
476	38183	41865
477	38267	41790
478	38363	41726
479	38445	41649
480	38524	41568
481	38603	41486
482	38684	41407
483	38775	41338
484	38852	41256
485	38938	41182
486	39012	41095
487	39091	41013
488	39180	40942
489	39270	40872
490	39345	40788
491	39432	40714
492	39503	40625
493	39579	40540
494	39663	40465
495	39750	40391
496	39832	40313
497	39915	40235
498	39989	40149
499	40067	40067
500	40149	39988
501	40227	39907
502	40308	39827
503	40391	39750
504	40470	39668
505	40546	39584
506	40628	39506
507	40717	39435
508	40796	39353
509	40878	39275
510	40956	39193
511	41042	39119
512	41120	39036
513	41202	38958
514	41284	38879
515	41358	38793
516	41438	38713
517	41526	38640
518	41611	38564
519	41687	38480
520	41771	38404
521	41860	38332
522	41947	38258
523	42035	38184
524	42139	38126
525	42238	38062
526	42328	37991
527	42420	37921
528	42497	37837
529	42581	37761
530	42667	37685
531	42749	37606
532	42832	37528
533	42928	37461
534	43028	37398
535	43114	37322
536	43201	37248
537	43285	37171
538	43383	37105
539	43466	37026
540	43557	36955
541	43645	36881
542	43741	36813
543	43816	36728
544	43905	36654
545	43984	36573
546	44076	36502
547	44161	36425
548	44256	36356
549	44337	36276
550	44421	36198
551	44512	36125
552	44600	36051
553	44693	35980
554	44786	35909
555	44867	35829
556	44950	35750
557	45035	35673
558	45126	35600
559	45221	35530
560	45303	35451
561	45392	35376
562	45479	35301
563	45573	35230
564	45658	35153
565	45749	35079
566	45839	35006
567	45929	34932
568	46021	34860
569	46114	34788
570	46206	34715
571	46301	34645
572	46392	34571
573	46489	34502
574	46575	34425
575	46660	34347
576	46748	34271
577	46835	34195
578	46926	34121
579	47019	34048
580	47117	33979
581	47211	33907
582	47304	33835
583	47400	33764
584	47492	33691
585	47587	33619
586	47700	33560
587	47809	33499
588	47907	33429
589	48015	33366
590	48117	33299
591	48214	33228
592	48321	33164
593	48420	33095
594	48511	33020
595	48607	32948
596	48704	32877
597	48811	32812
598	48911	32743
599	49005	32670
600	49157	32635
601	49255	32564
602	49362	32498
603	49457	32426
604	49558	32356
605	49657	32285
606	49739	32203
607	49855	32143
608	49952	32071
609	50057	32003
610	50170	31941
611	50271	31871
612	50376	31803
613	50475	31732
614	50570	31657
615	50673	31588
616	50774	31517
617	50860	31438
618	50963	31368
619	51071	31301
620	51165	31226
621	51264	31154
622	51387	31096
623	51497	31030
624	51590	30954
625	51700	30888
626	51804	30818
627	51911	30750
628	52013	30678
629	52107	30602
630	52206	30529
631	52306	30456
632	52412	30387
633	52517	30317
634	52622	30247
635	52720	30173
636	52821	30100
637	52916	30024
638	53060	29976
639	53188	29918
640	53303	29853
641	53413	29785
642	53525	29717
643	53638	29651
644	53759	29588
645	53869	29519
646	53974	29448
647	54091	29383
648	54217	29322
649	54350	29265
650	54496	29215
651	54643	29165
652	54749	29093
653	54866	29027
654	54976	28957
655	55082	28884
656	55192	28814
657	55288	28736
658	55392	28663
659	55495	28588
660	55602	28516
661	55704	28441
662	55812	28369
663	55929	28301
664	56033	28227
665	56138	28153
666	56246	28080
667	56343	28003
668	56457	27933
669	56592	27873
670	56686	27794
671	56800	27724
672	56919	27656
673	57015	27577
674	57120	27502
675	57243	27436
676	57344	27359
677	57447	27283
678	57555	27209
679	57650	27129
680	57758	27055
681	57868	26982
682	57975	26908
683	58087	26835
684	58201	26764
685	58317	26693
686	58431	26621
687	58575	26563
688	58692	26492
689	58798	26416
690	58901	26339
691	59000	26260
692	59120	26190
693	59236	26118
694	59339	26041
695	59455	25968
696	59568	25895
697	59689	25825
698	59807	25753
699	59930	25684
700	60037	25608
701	60158	25537
702	60274	25464
703	60379	25386
704	60480	25307
705	60582	25228
706	60686	25150
707	60805	25077
708	60911	25000
709	61020	24923
710	61146	24854
711	61251	24775
712	61349	24694
713	61473	24623
714	61591	24550
715	61697	24472
716	61798	24391
717	61894	24309
718	62002	24231
719	62134	24163
720	62242	24085
721	62362	24012
722	62473	23935
723	62579	23856
724	62683	23776
725	62799	23701
726	62905	23621
727	63027	23548
728	63127	23467
729	63249	23393
730	63360	23315
731	63470	23237
732	63583	23160
733	63694	23082
734	63787	22998
735	63901	22921
736	64003	22839
737	64117	22762
738	64234	22686
739	64362	22613
740	64523	22552
741	64643	22477
742	64751	22397
743	64868	22320
744	64998	22247
745	65127	22174
746	65259	22102
747	65372	22023
748	65491	21947
749	65590	21863
750	65720	21790
751	65835	21711
752	65958	21635
753	66076	21558
754	66208	21484
755	66319	21404
756	66445	21329
757	66559	21249
758	66677	21171
759	66783	21089
760	66889	21007
761	67014	20930
762	67125	20850
763	67229	20767
764	67340	20686
765	67453	20605
766	67573	20527
767	67694	20449
768	67807	20368
769	67936	20292
770	68062	20215
771	68177	20135
772	68295	20055
773	68412	19975
774	68533	19896
775	68644	19814
776	68757	19733
777	68869	19651
778	68987	19571
779	69102	19490
780	69212	19407
781	69320	19324
782	69437	19243
783	69555	19163
784	69679	19084
785	69790	19001
786	69895	18917
787	70012	18835
788	70123	18752
789	70261	18677
790	70392	18599
791	70520	18520
792	70639	18439
793	70760	18358
794	70878	18276
795	70989	18193
796	71127	18116
797	71234	18031
798	71352	17949
799	71494	17873
800	71613	17791
801	71736	17710
802	71852	17627
803	71972	17545
804	72111	17468
805	72225	17384
806	72339	17300
807	72458	17217
808	72587	17137
809	72711	17055
810	72829	16972
811	72951	16890
812	73070	16807
813	73190	16724
814	73313	16641
815	73463	16565
816	73602	16486
817	73731	16404
818	73849	16320
819	73975	16238
820	74104	16156
821	74224	16072
822	74351	15990
823	74492	15911
824	74641	15833
825	74798	15756
826	74935	15675
827	75070	15594
828	75207	15513
829	75340	15431
830	75477	15349
831	75631	15271
832	75769	15190
833	75906	15108
834	76037	15025
835	76197	14947
836	76309	14860
837	76458	14780
838	76592	14697
839	76715	14612
840	76852	14529
841	76986	14446
842	77115	14362
843	77269	14282
844	77402	14198
845	77536	14114
846	77677	14031
847	77829	13950
848	77954	13864
849	78096	13781
850	78230	13697
851	78365	13612
852	78494	13527
853	78638	13444
854	78794	13362
855	78933	13278
856	79066	13193
857	79205	13108
858	79349	13024
859	79483	12939
860	79627	12855
861	79765	12769
862	79902	12684
863	80034	12598
864	80156	12509
865	80308	12426
866	80433	12338
867	80574	12253
868	80730	12169
869	80864	12083
870	81006	11997
871	81170	11915
872	81311	11828
873	81462	11744
874	81604	11657
875	81762	11573
876	81914	11488
877	82070	11403
878	82235	11320
879	82405	11237
880	82565	11152
881	82731	11068
882	82878	10981
883	83036	10896
884	83202	10811
885	83376	10727
886	83546	10643
887	83713	10558
888	83853	10469
889	84023	10384
890	84303	10313
891	84502	10231
892	84677	10146
893	84836	10058
894	84998	9971
895	85152	9883
896	85301	9794
897	85439	9704
898	85574	9613
899	85769	9529
900	85938	9442
901	86129	9357
902	86335	9274
903	86489	9184
904	86675	9098
905	86868	9012
906	87046	8925
907	87221	8837
908	87369	8746
909	87523	8656
910	87679	8565
911	87838	8475
912	87979	8383
913	88128	8292
914	88277	8200
915	88445	8110
916	88614	8020
917	88743	7927
918	88924	7837
919	89074	7745
920	89229	7653
921	89416	7564
922	89580	7473
923	89735	7380
924	89890	7288
925	90046	7195
926	90207	7103
927	90369	7011
928	90515	6917
929	90681	6825
930	90836	6732
931	90997	6639
932	91156	6546
933	91302	6451
934	91490	6360
935	91662	6267
936	91797	6172
937	91960	6078
938	92131	5985
939	92321	5892
940	92478	5798
941	92654	5704
942	92834	5611
943	92999	5516
944	93177	5423
945	93339	5328
946	93522	5234
947	93699	5139
948	93889	5045
949	94069	4951
950	94236	4855
951	94427	4761
952	94622	4666
953	94792	4570
954	94974	4475
955	95140	4378
956	95319	4282
957	95517	4187
958	95680	4090
959	95926	3996
960	96095	3899
961	96268	3802
962	96444	3705
963	96604	3607
964	96768	3509
965	96937	3411
966	97134	3314
967	97309	3216
968	97516	3119
969	97796	3024
970	98150	2931
971	98361	2833
972	98580	2735
973	98761	2636
974	99029	2539
975	99262	2440
976	99497	2342
977	99729	2243
978	100030	2145
979	100291	2046
980	100485	1946
981	100686	1845
982	100863	1744
983	101042	1642
984	101210	1541
985	101396	1439
986	101587	1338
987	101777	1236
988	101985	1134
989	102176	1032
990	102383	929
991	102546	826
992	102745	724
993	102952	621
994	103114	518
995	103292	414
996	103457	311
997	103627	207
998	103811	103
999	104011	0
