iter	RMSE	MAE	R2	MAPE
0	89.7243688	36.23370296	0.01027217283	2.762173834
1	89.34504661	35.78812192	0.01862290625	2.671956364
2	89.02797928	35.43912137	0.02557596068	2.593347704
3	88.76010665	35.11931845	0.03143094787	2.516956668
4	88.54033034	34.86440763	0.03622150079	2.450126594
5	88.3398939	34.65682395	0.04058014004	2.392631118
6	88.16371523	34.47261138	0.04440311873	2.336022633
7	88.01896479	34.31007721	0.04753841108	2.289023689
8	87.89154118	34.16409676	0.05029414112	2.23919446
9	87.78518958	34.05020993	0.05259109992	2.198787911
10	87.69705985	33.94575617	0.05449239969	2.158438659
11	87.62006906	33.86213213	0.05615182644	2.126789457
12	87.55319937	33.7910998	0.05759192464	2.100692013
13	87.48618356	33.72000973	0.05903406642	2.074323972
14	87.43453851	33.6536856	0.06014468506	2.049190447
15	87.39580789	33.61139755	0.06097715051	2.029098509
16	87.34044295	33.5682488	0.06216650913	2.009030563
17	87.29189566	33.53087365	0.06320878963	1.993287647
18	87.24712703	33.48676839	0.06416943101	1.977333391
19	87.21799542	33.44947439	0.06479426993	1.962494943
20	87.18181601	33.41297104	0.06556998541	1.947351342
21	87.14294374	33.37992402	0.06640307922	1.930990218
22	87.1099093	33.34977095	0.06711076729	1.918454175
23	87.08101225	33.33550023	0.06772960101	1.910507699
24	87.04241421	33.3165991	0.06855586221	1.905581709
25	87.01632289	33.29583737	0.06911418695	1.897350903
26	86.99173874	33.28275704	0.06964010682	1.891735856
27	86.96980773	33.27013412	0.07010914345	1.885081612
28	86.94574596	33.25715736	0.07062361457	1.879510433
29	86.92313353	33.22805974	0.07110696719	1.867684527
30	86.89807074	33.20432312	0.07164255057	1.862172267
31	86.87925926	33.18327662	0.07204444417	1.853176258
32	86.85912843	33.16199136	0.07247442813	1.847923347
33	86.83490835	33.15662067	0.07299162457	1.845950031
34	86.8201981	33.14254763	0.07330567721	1.843340324
35	86.7956709	33.12892865	0.07382919614	1.840315342
36	86.78342266	33.11899558	0.07409057249	1.835593839
37	86.76945266	33.10689591	0.07438864584	1.832846387
38	86.74776293	33.0897789	0.07485133745	1.825260402
39	86.72976528	33.08153807	0.07523518067	1.823704191
40	86.71473924	33.06567274	0.07555558636	1.818262814
41	86.6889403	33.05951741	0.07610557671	1.815873406
42	86.67066593	33.05409104	0.07649505678	1.811980125
43	86.66524314	33.04902933	0.07661061659	1.810554584
44	86.65221766	33.03674519	0.07688815999	1.808352328
45	86.6360384	33.02826135	0.07723284517	1.806650603
46	86.62264257	33.01917093	0.07751818328	1.803632233
47	86.60661236	33.00695478	0.07785957679	1.799707538
48	86.5910551	32.98953896	0.07819083771	1.794412912
49	86.5802308	32.97612957	0.07842128455	1.788379396
50	86.57100489	32.96808413	0.07861767925	1.785518213
51	86.55904399	32.96169287	0.07887226336	1.782000678
52	86.54423957	32.94997029	0.07918732208	1.78013287
53	86.52674094	32.94181481	0.07955964802	1.778473683
54	86.50777303	32.9256571	0.07996315131	1.773719398
55	86.47632694	32.92201195	0.08063190757	1.772806213
56	86.45534591	32.91728537	0.08107797075	1.77142163
57	86.44151216	32.90485519	0.08137202114	1.767271416
58	86.42259098	32.89437019	0.08177413419	1.76617752
59	86.40612918	32.88313701	0.08212390865	1.763647455
60	86.39604034	32.87457758	0.08233823981	1.761429273
61	86.38324589	32.86833094	0.08261001416	1.760811503
62	86.36437013	32.86302053	0.08301089136	1.759664048
63	86.35035611	32.85120666	0.08330846003	1.757595182
64	86.32680998	32.84817401	0.08380832107	1.756174078
65	86.30719992	32.84353613	0.08422451929	1.754919259
66	86.30071719	32.83860876	0.0843620862	1.753683523
67	86.29353525	32.83646709	0.08451447837	1.751345775
68	86.27824791	32.83232685	0.08483881549	1.75130108
69	86.26451791	32.82953568	0.08513006304	1.751044455
70	86.25148118	32.82589299	0.08540656177	1.750181051
71	86.2368927	32.80960006	0.0857159223	1.746658831
72	86.22794323	32.80411172	0.08590567701	1.745825347
73	86.20791029	32.80070816	0.08633036243	1.745485878
74	86.19452908	32.79526702	0.08661398031	1.74439588
75	86.18717917	32.7921706	0.08676974478	1.74383097
76	86.16749575	32.78992252	0.08718682406	1.743794969
77	86.15719758	32.78746641	0.08740499778	1.742804081
78	86.14696048	32.78150553	0.08762185188	1.74226854
79	86.13530344	32.76915535	0.08786875344	1.73940814
80	86.10505403	32.76559064	0.08850929413	1.738731949
81	86.09521871	32.75848303	0.08871751166	1.737660509
82	86.07746724	32.75577235	0.08909325695	1.736261642
83	86.06159175	32.75246326	0.08942922771	1.735526117
84	86.0567234	32.74895698	0.08953224352	1.734819367
85	86.04342164	32.74692379	0.08981368316	1.733934491
86	86.03478716	32.74102	0.08999634897	1.732882134
87	86.02819543	32.73758807	0.09013578714	1.731671207
88	86.02488865	32.73576886	0.09020573318	1.731106169
89	86.01287983	32.72508232	0.09045972454	1.728345447
90	86.00123469	32.71781392	0.09070599027	1.727322775
91	85.97596252	32.71364356	0.09124031861	1.726555852
92	85.97001985	32.7099179	0.09136594158	1.726185223
93	85.95902958	32.70570157	0.09159824341	1.725359664
94	85.95174305	32.7019989	0.09175224272	1.724571057
95	85.94466674	32.6991908	0.09190178653	1.725186636
96	85.93346419	32.69569779	0.0921385052	1.724525852
97	85.92073665	32.69389603	0.09240741052	1.723334831
98	85.91635423	32.6918775	0.09249999239	1.722357792
